Name,Type,County,Government,Population,Area_Total_sq_mi,Area_Land_sq_mi,Year_Incorporated
Holliston,Town,Middlesex,Open town meeting,14996,19.0,18.7,1724
Hanover,Town,Plymouth,Open town meeting,14833,15.7,15.6,1727
Dennis,Town,Barnstable,Open town meeting,14674,22.3,20.5,1793
Wilbraham,Town,Hampden,Open town meeting,14613,22.4,22.2,1763
East Bridgewater,Town,Plymouth,Open town meeting,14440,17.5,17.2,1823
Bedford,Town,Middlesex,Open town meeting,14383,13.9,13.7,1729
Nantucket,Town,Nantucket,Open town meeting,14255,105.3,47.8,1671
Uxbridge,Town,Worcester,Open town meeting,14162,30.4,29.5,1727
Wayland,Town,Middlesex,Open town meeting,13943,15.9,15.2,1780
Millbury,Town,Worcester,Open town meeting,13831,16.3,15.7,1813
Ipswich,Town,Essex,Open town meeting,13785,42.5,32.1,1634
Kingston,Town,Plymouth,Open town meeting,13708,20.5,18.6,1726
Harwich,Town,Barnstable,Open town meeting,13440,33.1,20.9,1694
Oxford,Town,Worcester,Open town meeting,13347,27.5,26.6,1713
Charlton,Town,Worcester,Open town meeting,13315,43.8,42.5,1755
Medway,Town,Norfolk,Open town meeting,13115,11.5,11.5,1713
Lynnfield,Town,Essex,Open town meeting,13000,10.5,9.9,1814
North Adams,City,Berkshire,Mayor-Council,12961,20.6,20.4,1878
Medfield,Town,Norfolk,Open town meeting,12799,14.6,14.5,1651
Rehoboth,Town,Bristol,Open town meeting,12502,46.8,46.5,1645
Palmer,City,Hampden,Manager-Council,12448,32.0,31.6,1775
Tyngsborough,Town,Middlesex,Open town meeting,12380,18.1,16.9,1809
Wrentham,Town,Norfolk,Open town meeting,12178,22.9,22.2,1673
Spencer,Town,Worcester,Open town meeting,11992,34.1,32.9,1775
Athol,Town,Worcester,Open town meeting,11945,33.4,32.6,1762
Dudley,Town,Worcester,Open town meeting,11921,22.1,21.1,1732
Weston,Town,Middlesex,Open town meeting,11851,17.3,17.0,1713
Lunenburg,Town,Worcester,Open town meeting,11782,27.7,26.4,1728
Norfolk,Town,Norfolk,Open town meeting,11662,15.2,14.8,1870
Carver,Town,Plymouth,Open town meeting,11645,39.7,37.4,1790
Pepperell,Town,Middlesex,Open town meeting,11604,23.2,22.6,1775
Lakeville,Town,Plymouth,Open town meeting,11523,36.1,29.6,1853
Holbrook,Town,Norfolk,Representative town meeting,11405,7.4,7.4,1872
Norwell,Town,Plymouth,Open town meeting,11351,21.2,20.9,1849
Groton,Town,Middlesex,Open town meeting,11315,33.7,32.8,1655
Leicester,Town,Worcester,Open town meeting,11087,24.7,23.4,1714
Maynard,Town,Middlesex,Open town meeting,10746,5.4,5.2,1871
Hanson,Town,Plymouth,Open town meeting,10639,15.7,15.0,1820
Acushnet,Town,Bristol,Open town meeting,10559,19.0,18.4,1860
Southborough,Town,Worcester,Open town meeting,10450,15.7,14.2,1727
Winchendon,Town,Worcester,Open town meeting,10364,44.1,43.3,1764
Brewster,Town,Barnstable,Open town meeting,10318,25.4,22.9,1803
Littleton,Town,Middlesex,Open town meeting,10141,17.6,16.6,1715
Hull,Town,Plymouth,Open town meeting,10072,26.9,2.8,1644
Ware,Town,Hampshire,Open town meeting,10066,40.0,34.4,1775
Plainville,Town,Norfolk,Open town meeting,9945,11.5,11.0,1905
Sturbridge,Town,Worcester,Open town meeting,9867,39.0,37.4,1738
Middleton,Town,Essex,Open town meeting,9779,14.5,14.0,1728
Sutton,Town,Worcester,Open town meeting,9357,33.9,32.4,1714
Salisbury,Town,Essex,Open town meeting,9236,17.9,15.4,1639
Southwick,Town,Hampden,Open town meeting,9232,31.7,30.8,1775
Blackstone,Town,Worcester,Open town meeting,9208,11.2,10.9,1845
Freetown,Town,Bristol,Open town meeting,9206,38.3,36.6,1683
Townsend,Town,Middlesex,Open town meeting,9127,33.1,32.9,1732
Rutland,Town,Worcester,Open town meeting,9049,36.4,35.3,1713
Douglas,Town,Worcester,Open town meeting,8983,37.7,36.4,1775
